Model,Type,AUROC,PR AUC
Random Forest,Default,0.9999992794699369,0.9999983656373667
Random Forest,Tuned,1.0,1.0
XGBoost,Default,0.9968598785186313,0.9896523323045321
XGBoost,Tuned,0.9974038787162626,0.9913886000822826
SVM,Default,0.9898199395372346,0.9660268249058523
SVM,Tuned,0.991095071883167,0.9672283247330111
