Model,Strategy,AUROC,PR AUC,Accuracy,F1 Score,Recall (default),Recall @0.3,Recall @0.5,Recall @0.7
XGBoost,Simple (Median/Mode),0.9971861242379109,0.9917648885061905,0.9937907011964259,0.9908174692049272,0.9995481247175779,1.0,0.9995481247175779,0.9995481247175779
XGBoost,KNN Imputation,0.9972314146990193,0.992466377486565,0.9912161138876269,0.9870651204281892,1.0,1.0,1.0,0.9995481247175779
XGBoost,MICE Imputation,0.9972804622097423,0.9902151473193541,0.9953051643192489,0.9930446488669509,1.0,1.0,1.0,1.0
XGBoost,Domain-Informed,0.997038467041411,0.9910066116104257,0.9942450401332728,0.9914874551971327,1.0,1.0,1.0,0.9995481247175779
