Strategy,AUROC,PR AUC,Recall (default),Recall @0.3,Recall @0.5,Recall @0.7
Simple (Median/Mode),0.9703695392827842,0.8883588509452333,0.9972887483054677,1.0,0.9972887483054677,0.9498418436511523
KNN Imputation,0.9655365324181916,0.8678039063999812,0.9927699954812472,0.9995481247175779,0.9927699954812472,0.9448712155445097
MICE Imputation,0.9678485075249073,0.8699620752812092,0.9945774966109354,0.9995481247175779,0.9945774966109354,0.94713059195662
Domain-Informed,0.978856765828759,0.9364820809496581,0.9941256213285133,1.0,0.9941256213285133,0.9647537279710799
