Strategy,AUROC,PR AUC,Recall (default),Recall @0.3,Recall @0.5,Recall @0.7
Simple (Median/Mode),0.9969843758202463,0.9908861999222998,0.9977406235878897,0.9995481247175779,0.9977406235878897,0.9959331224582015
KNN Imputation,0.9948854717464721,0.9821687334299989,0.9968368730230457,1.0,0.9968368730230457,0.9941256213285133
MICE Imputation,0.9962257605966812,0.9883828826510384,0.9981924988703118,1.0,0.9981924988703118,0.9950293718933574
Domain-Informed,0.9988013467736208,0.9964874812951503,1.0,1.0,1.0,1.0
