Model,Strategy,AUROC,PR AUC,Accuracy,F1 Score,Recall (default),Recall @0.3,Recall @0.5,Recall @0.7
SVM (RBF),Simple (Median/Mode),0.9815532981234308,0.9364819861634727,0.9362411025291534,0.9128183889003935,0.9959331224582015,0.9927699954812472,0.9864437415273385,0.938544961590601
SVM (RBF),KNN Imputation,0.980550989339243,0.9289120385051985,0.9306375889747085,0.9059934318555009,0.9972887483054677,0.9918662449164031,0.982828739267962,0.9317668323542703
SVM (RBF),MICE Imputation,0.9804006558882233,0.9231709667824002,0.9342723004694836,0.9105892047795633,0.9986443741527339,0.9932218707636692,0.9864437415273385,0.9394487121554451
SVM (RBF),Domain-Informed,0.9898199395372346,0.9660268249058523,0.9345751930940481,0.9107438016528926,0.9959331224582015,0.9868956168097605,0.9796656122910077,0.9575237234523272
