Model,AUROC,PR AUC,F1 Score,Recall @0.5
Random Forest,0.9996919991312466,0.9992601807096311,0.9892229087092668,1.0
SVM (RBF),0.983081220722033,0.938647954089231,0.9100362067970875,0.9838454586534117
XGBoost,0.9971841170470208,0.9913632562306338,0.9906036734243,0.9998870311793945
