Model,AUROC,Brier Score,Log Loss
RF - Uncalibrated,1.0,0.0,2.2204460492503136e-16
RF - Platt,1.0,1.0277796876734765e-07,0.0003027383638869228
RF - Isotonic,1.0,0.0,2.2204460492503136e-16
XGB - Uncalibrated,0.9974038787162626,0.00558491090123224,0.029630270531103457
XGB - Platt,0.9974038787162626,0.005499946259671003,0.02837910602582673
XGB - Isotonic,0.9977201399475248,0.005416892164951302,0.02632312809444234
SVM - Uncalibrated,0.991095071883167,0.020068677253322894,0.08926653745982943
SVM - Platt,0.991095071883167,0.01998878780762249,0.08306974846685952
SVM - Isotonic,0.9919941904690341,0.018316211871490577,0.0706018544205006
