Model,Mean CV AUROC,Std CV AUROC,Min CV AUROC,Max CV AUROC,95% CI Lower,95% CI Upper
Logistic Regression,0.8386815478061219,0.0032250797490095506,0.834207930299112,0.8439478203550312,0.8323603914980632,0.8450027041141807
SVM,0.8520689483914378,0.0023291164722267026,0.8478983072400506,0.8540325426952973,0.8475038801058734,0.8566340166770021
Random Forest,0.8818906122979051,0.002653345311743485,0.877187073622828,0.8845085961530601,0.8766900554868878,0.8870911691089224
XGBoost,0.8755793812906102,0.0031550665003964875,0.8702409981905226,0.8788245403804119,0.8693954509498331,0.8817633116313873
K-Nearest Neighbors,0.9130259518708332,0.002911447377118053,0.9096202449314845,0.9175718726213526,0.9073195150116818,0.9187323887299846
Decision Tree,0.8518400356324047,0.003370625845439544,0.8454941320120494,0.8555999004147035,0.8452336089753433,0.8584464622894662
Deep Neural Network,0.8769264219384699,,,,,
