Model,Internal AUROC,External AUROC,Gap,Overfitting Risk
Logistic Regression,0.8386815478061219,0.8386298812051791,5.166660094280129e-05,Low
SVM,0.8520689483914378,0.8498454977679007,0.0022234506235370155,Low
Random Forest,0.8818906122979051,0.8654949475402648,0.016395664757640316,Low
XGBoost,0.8755793812906102,0.8568617107236489,0.018717670566961275,Low
Deep Neural Network,0.8769264219384699,0.8629385068764304,0.013987915062039558,Low
K-Nearest Neighbors,0.9130259518708332,0.8608330150992222,0.052192936771611076,High
Decision Tree,0.8518400356324047,0.831372445077596,0.020467590554808734,Medium
