Model,CV AUROC (mean),CV AUROC (std),Test AUROC,Test PR AUC
Logistic Regression,0.8369860904837687,0.0028568219523884197,0.838907388212334,0.6750474417776259
Random Forest,0.8633721133581351,0.0025843840891605924,0.8643915072150794,0.7340051369269189
XGBoost,0.8576880776923963,0.0035667754023859777,0.8589486231185158,0.7260146250740309
SVM,0.8471765575428704,0.001933211570919274,0.8503780724173886,0.7057980403649028
