Model,AUROC,PR AUC,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8389661628789087,0.6750869530544159,0.7616235044676662,0.6137415450338198,0.7790329868956168,0.68657905217045
Random Forest,0.8659104875209339,0.7365237208101453,0.7858549144328335,0.6454313796869312,0.8011748757342974,0.7149193548387097
XGBoost,0.867982217318043,0.7423279595469731,0.7875208238679389,0.6436170212765957,0.8201536375960234,0.7212398172064375
SVM,0.8523746097557712,0.7015956314553027,0.7708617295168863,0.6158173395102581,0.8409399005874378,0.7109837631327602
